announcement_key,source_id,published_date,item,price,url,scraped_at
146677579ec09aa380d4,2823,2026-07-31,เหล็กหนาไม่ซอย,4.50.-,https://wongpanit.com/print_history_price/2823,2026-09-23T00:53:35
f2223a7405f65510ac48,2824,2026-08-01,ทองเหลืองหนา,254.00.-,https://wongpanit.com/print_history_price/2824,2026-09-23T00:53:35
f78a141918998fbd3514,2824,2026-08-01,เหล็กบางไม่ซอย,3.50.-,https://wongpanit.com/print_history_price/2824,2026-09-23T00:53:36
b848f5cb43f1a9491152,2824,2026-08-01,เหล็กหนาไม่ซอย,4.50.-,https://wongpanit.com/print_history_price/2824,2026-09-23T00:53:36
441c558988eb411f7ec3,2825,2026-08-02,ทองเหลืองหนา,254.00.-,https://wongpanit.com/print_history_price/2825,2026-09-23T00:53:37
f1365fe70afaab18df4f,2825,2026-08-02,เหล็กบางไม่ซอย,3.50.-,https://wongpanit.com/print_history_price/2825,2026-09-23T00:53:37
e42ef197f35ad172c500,2825,2026-08-02,เหล็กหนาไม่ซอย,4.50.-,https://wongpanit.com/print_history_price/2825,2026-09-23T00:53:37
678483f1b1a61227f124,2826,2026-08-03,ทองเหลืองหนา,254.00.-,https://wongpanit.com/print_history_price/2826,2026-09-23T00:53:38
30d361ff2efc067f5178,2826,2026-08-03,เหล็กบางไม่ซอย,3.50.-,https://wongpanit.com/print_history_price/2826,2026-09-23T00:53:39
5cb692f5ac0534171da5,2826,2026-08-03,เหล็กหนาไม่ซอย,4.50.-,https://wongpanit.com/print_history_price/2826,2026-09-23T00:53:39
5211f8229b69d32f12c2,2827,2026-08-04,ทองเหลืองหนา,254.00.-,https://wongpanit.com/print_history_price/2827,2026-09-23T00:53:40
0a682e729065740997f7,2827,2026-08-04,เหล็กบางไม่ซอย,3.50.-,https://wongpanit.com/print_history_price/2827,2026-09-23T00:53:40
187dbc1b63ee7968103e,2827,2026-08-04,เหล็กหนาไม่ซอย,4.50.-,https://wongpanit.com/print_history_price/2827,2026-09-23T00:53:40
69ca5aaa90fd974d9996,2828,2026-08-05,ทองเหลืองหนา,254.00.-,https://wongpanit.com/print_history_price/2828,2026-09-23T00:53:41
c7104fc9b139f3ed21a1,2828,2026-08-05,เหล็กบางไม่ซอย,3.50.-,https://wongpanit.com/print_history_price/2828,2026-09-23T00:53:42
14efab801e0b0f496346,2828,2026-08-05,เหล็กหนาไม่ซอย,4.50.-,https://wongpanit.com/print_history_price/2828,2026-09-23T00:53:43
774af15bf7fb3df585c9,2829,2026-08-06,ทองเหลืองหนา,256.00.-,https://wongpanit.com/print_history_price/2829,2026-09-23T00:53:44
5517fa4b0d19380b97aa,2829,2026-08-06,เหล็กบางไม่ซอย,3.50.-,https://wongpanit.com/print_history_price/2829,2026-09-23T00:53:45
5202eaed4b63c2e8e760,2829,2026-08-06,เหล็กหนาไม่ซอย,4.50.-,https://wongpanit.com/print_history_price/2829,2026-09-23T00:53:46
4dd26fd2a93c688ba220,2830,2026-08-07,ทองเหลืองหนา,256.00.-,https://wongpanit.com/print_history_price/2830,2026-09-23T00:53:48
a8d569cb9ec802d1b16d,2830,2026-08-07,เหล็กบางไม่ซอย,3.50.-,https://wongpanit.com/print_history_price/2830,2026-09-23T00:53:49
